Orden	Sea	Island	Enemy 1	Enemy 2	Enemy 3
7	West Blue	Ballywood kingdom	Stussy	Monkey D. Dragon	Hamburg
2	West Blue	1 ???	Prince Grus	Dr. Hogback	Tom
2	West Blue	2 ???	Pearl	Sengoku	Charlotte Brûlée
3	West Blue	3 ???	Bartholomew Kuma	Diamante	Buffalo
4	West Blue	4 ???	Kozuki Sukiyaki	Shirahoshi	Orlumbus
5	West Blue	5 ???	Shirahoshi	Otohime	Sugar
6	West Blue	6 ???	Pica	Pedro	Sabo
2	West Blue	Toroa island	Basil Hawkins	Dr. Hogback	Vinsmoke Niji
5	West Blue	Ohara	Ideo	Yamato	Caesar Clown
7	West Blue	Kano country	Foxy	Paulie	Shaka
7	West Blue	God valley	Monkey D. Dragon	Yasopp	Sentomaru
1	West Blue	Ilisia kigdom			
4	South Blue	Judo island	Killer	Black Maria	Blue Gilly
1	South Blue	7 ???			
2	South Blue	8 ???	Pagaya	Charlotte Linlin	Charlotte Pudding
3	South Blue	9 ???	Brook	Issho	Shiryu
4	South Blue	10 ???	Shimotsuki Yasuie	Blue Gilly	Hyouzou
5	South Blue	11 ???	Tsuru	Enel	Spandam
3	South Blue	Torino kingdom	Nami	Hody Jones	Kozuki Hiyori
2	South Blue	Sorbet kingdom	Nico Robin	X Drake	Daz Bonez
3	South Blue	Centaurea kingdom	Marshall D. Teach	Paulie	Nekomamushi
5	South Blue	Baterilla island	Riku Dold III	Arlong	Crocus
6	South Blue	Briss kingdom	Fukurou	Gecko Moria	Marshall D. Teach
1	South Blue	Karate island			
4	North Blue	Lvneel kingdom	Otohime	Bepo	Bartolomeo
2	North Blue	12 ???	Boa Hancock	Tsuru	Silvers Rayleigh
2	North Blue	13 ???	Usopp	Charlotte Linlin	Kaku
2	North Blue	14 ???	Bellamy	Charlotte Daifuku	Shirahoshi
6	Noth Blue	15 ???	Diamante	Donquixote Doflamingo	Hibari
1	North Blue	Swallow island	Edison	Doc Q	Arlong
2	North Blue	Minion island	Peepley Lulu	Morley	Silvers Rayleigh
1	North Blue	Downs island			
3	North Blue	Whiteland kigdom	Mr. 5	Manboshi	Aramaki
5	North Blue	Deul kingdom	Van Augur	Jozu	Inuarashi
1	North Blue	Flevance kingdom			
1	North Blue	Rubeck island			
	New World	Whole Cake island			
	New World	Prodence kingdom			
	New World	Karai bari island			
	New World	Mystoria island			
	New World	Risky red island			
	New World	Green bit			
	New World	Doerena kingdom			
	New World	Broc coli island			
	New World	Komugi			
	New World	Ice			
	New World	Milk			
	New World	Yukiryu island			
	New World	Ballon terminal			
	New World	Onigashima			
	New World	Hachinosu pirate island			
	New World	Nuts			
	New World	Kibo			
	New World	Noko			
	New World	Elbaf			
	New World	Funwari			
	New World	Sphinx island			
	New World	Raijin island			
	New World	Dressrosa kingdom			
	New World	Applenine island			
	New World	Majiatsuka kingdom			
	New World	Tanega			
	New World	Fruits			
	New World	Unique			
	New World	Futoru			
	New World	Kimi			
	New World	Poripori			
	New World	Biscuits			
	New World	Rokumitsu			
	New World	Candy			
	New World	Potato			
	New World	Cacao			
	New World	Jelly			
	New World	Liqueur			
	New World	Zou			
	New World	Egghead island			
	New World	Flavor			
	New World	Yakigashi			
	New World	Kinko			
	New World	Milenge			
	New World	Loadestar island			
	New World	Fish-man island			
	New World	New marineford			
	New World	G-5			
	New World	Punk hazard			
	New World	Mogaro kingdom			
	New World	Sanshoku			
	New World	Piepie			
	New World	Loving			
	New World	Black			
	New World	Topping			
	New World	Cheese			
	New World	100% island			
	New World	Jam			
	New World	Germa kingdom			
	New World	Foodvalten island			
	New World	Baltigo			
	New World	Wano kingdom			
	New World	G-14			
	New World	Package			
	New World	Margarine			
	New World	Winner island			
23	Grand Line	Marineford	Portgas D. Ace	Stussy	Trebol
17	Grand Line	Water seven	Jack	Bon Clay	Helmeppo
21	Grand Line	Enies lobby	Pica	Kyros	Sabo
22	Grand Line	Impel down	Edward Weevil	Charlotte Perospero	Vinsmoke Sanji
26	Grand Line	Sabaody archipielago	Marshall D. Teach	Edison	Porche
4	Grand Line	Kyuka island	Boa Hancock	Nami	Machvise
6	Grand Line	Nanimonai island	Sengoku	Carrot	Baron Tamago
9	Grand Line	Hidden cloud village			
10	Grand Line	Upper yard	Lindbergh	Pica	Nico Robin
12	Grand Line	Angel island	Lucky Roux	Hody Jones	Shimotsuki Yasuie
14	Grand Line	Namakura island	Charlotte Pudding	Don Krieg	Kin'emon
15	Grand Line	San faldo	Pedro	Killer	Donquixote Doflamingo
17	Grand Line	Shift station	York	Page One	Miss Valentine
20	Grand Line	Guanhao	Vinsmoke Reiju	Professor Clover	Hajrudin
22	Grand Line	Thriller bark	Sugar	Charlotte Pudding	Smoker
24	Grand Line	Lulusia kingdom	Charlotte Mont-d'Or	Hajrudin	Orlumbus
24	Grand Line	Kuraigana island	Iceburg	Fisher Tiger	Yasopp
2	Grand Line	Cactus island	Uta	Capone Bege	Sai
3	Grand Line	Little garden	Hody Jones	Koby	Buffalo
3	Grand Line	Boin archipielago	Saint Shepherd Ju Peter	Charlotte Daifuku	Scratchmen Apoo
5	Grand Line	Renaise	Chew	Kalifa	Donquixote Doflamingo
5	Grand Line	Drum island	Usopp	Rebecca	Shimotsuki Yasuie
7	Grand Line	Sandy island	Pedro	Jozu	Jesus Burgess
8	Grand Line	Foolshout island	Koala	Perona	Shirahoshi
8	Grand Line	Jaya	Black Maria	Lao G	Miss Goldenweek
8	Grand Line	Ukkari island	Kaku	Manboshi	Charlotte Cracker
11	Grand Line	Skypiea	Pell	Bogard	Kuroobi
16	Grand Line	Scrap island	Momonosuke	Jesus Burgess	Pekoms
13	Grand Line	Long ring long island	Bepo	Doc Q	Kaido
13	Grand Line	Kenzan island	Franky	Kuroobi	Yamato
14	Grand Line	Weatheria	Alvida	Chew	York
15	Grand Line	Banaro island	Pedro	Fukaboshi	Who's Who
16	Grand Line	Pucci island	Kumadori	Kyros	Denjiro
18	Grand Line	St. poplar	Black Maria	Rocks D. Xebec	Charlotte Daifuku
18	Grand Line	Momoiro island	Charlotte Smoothie	Tilestone	Kikunojo
19	Grand Line	Karakuri island	Brook	Charlotte Oven	Tashigi
19	Grand Line	Rusukaina	Monkey D. Dragon	Jesus Burgess	Nico Robin
20	Grand Line	Amazon lily	Trafalgar Law	Dellinger	Pedro
25	Grand Line	G-2	Belo Betty	Daz Bonez	Enel
1	Grand Line	Reverse mountain	Lindbergh	Tom	Hibari
4	East Blue	Island of rare animals	Streusen	Jack	Monkey D. Dragon
3	East Blue	Organ island	X Drake	Charlotte Smoothie	Kuro
7	East Blue	Conomi island	Arlong	Kuzan	Lao G
5	East Blue	Gecko island	Vegapunk	Kalifa	Kujaku
6	East Blue	Mirror ball island	Helmeppo	Bepo	Tilestone
8	East Blue	Oykot kigdom	Kalifa	Arlong	Orlumbus
9	East Blue	Polestar island	Caesar Clown	Don Krieg	Neptune
5	East Blue	Baratie	Helmeppo	Charlotte Oven	Marshall D. Teach
2	East Blue	Tequila wolf	Sentomaru	Edward Weevil	Diamante
7	East Blue	Frauce kingdom	Issho	Nico Olvia	Buggy
7	East Blue	Cozia island	Avalo Pizarro	Galdino	Trebol
1	East Blue	Yotsuba island region			
1	East Blue	Goat island			
1	East Blue	Goa kingdom			
1	East Blue	Kumate island			
1	East Blue	Sixis island			
